/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:771: UserWarning: Corrupt EXIF data.  Expecting to read 4 bytes but only got 0.
  warnings.warn(str(msg))
/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:754: UserWarning: Possibly corrupt EXIF data.  Expecting to read 2555904 bytes but only got 0. Skipping tag 0
  " Skipping tag %s" % (size, len(data), tag))
/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:754: UserWarning: Possibly corrupt EXIF data.  Expecting to read 1835008 bytes but only got 0. Skipping tag 0
  " Skipping tag %s" % (size, len(data), tag))
/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:754: UserWarning: Possibly corrupt EXIF data.  Expecting to read 2555904 bytes but only got 0. Skipping tag 0
  " Skipping tag %s" % (size, len(data), tag))
/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:754: UserWarning: Possibly corrupt EXIF data.  Expecting to read 19660800 bytes but only got 0. Skipping tag 0
  " Skipping tag %s" % (size, len(data), tag))
/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:754: UserWarning: Possibly corrupt EXIF data.  Expecting to read 18481152 bytes but only got 0. Skipping tag 0
  " Skipping tag %s" % (size, len(data), tag))
/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:754: UserWarning: Possibly corrupt EXIF data.  Expecting to read 37093376 bytes but only got 0. Skipping tag 0
  " Skipping tag %s" % (size, len(data), tag))
/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:754: UserWarning: Possibly corrupt EXIF data.  Expecting to read 39976960 bytes but only got 0. Skipping tag 0
  " Skipping tag %s" % (size, len(data), tag))
/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:754: UserWarning: Possibly corrupt EXIF data.  Expecting to read 34865152 bytes but only got 0. Skipping tag 0
  " Skipping tag %s" % (size, len(data), tag))
/vulcan/scratch/jhanson7/anaconda3/envs/pytorch/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:771: UserWarning: Corrupt EXIF data.  Expecting to read 12 bytes but only got 10.
  warnings.warn(str(msg))
Epoch: [0][80/5005]	Time 0.439 (2.623)	Data 0.000 (1.861)	Loss 7.0113 (7.0708)	Acc@1 0.000 (0.154)	Acc@5 0.000 (0.675)
Epoch: [0][90/5005]	Time 0.853 (2.612)	Data 0.444 (1.884)	Loss 7.1335 (7.0680)	Acc@1 0.000 (0.159)	Acc@5 1.562 (0.704)
Epoch: [0][100/5005]	Time 0.395 (2.574)	Data 0.000 (1.871)	Loss 7.0427 (7.0640)	Acc@1 0.781 (0.162)	Acc@5 1.172 (0.708)
Epoch: [0][110/5005]	Time 1.126 (2.571)	Data 0.657 (1.890)	Loss 6.9492 (7.0615)	Acc@1 0.000 (0.158)	Acc@5 0.000 (0.718)
Epoch: [0][120/5005]	Time 1.033 (2.543)	Data 0.666 (1.882)	Loss 6.9785 (7.0540)	Acc@1 0.000 (0.158)	Acc@5 0.000 (0.733)
Epoch: [0][130/5005]	Time 0.482 (2.542)	Data 0.000 (1.899)	Loss 7.0410 (7.0513)	Acc@1 0.000 (0.158)	Acc@5 0.000 (0.722)
Epoch: [0][140/5005]	Time 1.489 (2.525)	Data 1.026 (1.897)	Loss 6.9618 (7.0459)	Acc@1 0.391 (0.158)	Acc@5 1.172 (0.720)
Epoch: [0][150/5005]	Time 0.406 (2.526)	Data 0.000 (1.908)	Loss 6.9208 (7.0393)	Acc@1 0.391 (0.158)	Acc@5 1.172 (0.724)
Epoch: [0][160/5005]	Time 2.038 (2.513)	Data 1.655 (1.903)	Loss 6.9587 (7.0351)	Acc@1 0.781 (0.167)	Acc@5 2.734 (0.752)
Epoch: [0][170/5005]	Time 0.455 (2.513)	Data 0.000 (1.910)	Loss 6.8771 (7.0299)	Acc@1 0.000 (0.174)	Acc@5 0.781 (0.754)
Epoch: [0][180/5005]	Time 1.812 (2.503)	Data 1.371 (1.909)	Loss 6.9433 (7.0245)	Acc@1 0.000 (0.170)	Acc@5 0.391 (0.760)
Epoch: [0][190/5005]	Time 1.278 (2.503)	Data 0.867 (1.918)	Loss 6.8335 (7.0192)	Acc@1 0.000 (0.178)	Acc@5 1.953 (0.773)
Epoch: [0][200/5005]	Time 2.071 (2.495)	Data 1.642 (1.918)	Loss 6.9368 (7.0144)	Acc@1 0.000 (0.181)	Acc@5 0.391 (0.791)
Epoch: [0][210/5005]	Time 2.015 (2.497)	Data 1.537 (1.927)	Loss 6.8882 (7.0089)	Acc@1 0.000 (0.187)	Acc@5 0.781 (0.809)
Epoch: [0][220/5005]	Time 0.422 (2.496)	Data 0.000 (1.929)	Loss 6.9486 (7.0038)	Acc@1 0.391 (0.200)	Acc@5 1.562 (0.854)
Epoch: [0][230/5005]	Time 0.692 (2.482)	Data 0.325 (1.921)	Loss 6.8690 (6.9985)	Acc@1 0.000 (0.201)	Acc@5 1.172 (0.881)
