=> creating model 'resnet50'
=> loading checkpoint 'checkpoint.pth.tar'
=> loaded checkpoint 'checkpoint.pth.tar' (epoch 28)
Loading training data
training data loaded
Epoch: [28][0/5005]	Time 38.386 (38.386)	Data 12.172 (12.172)	Loss 1.7382 (1.7382)	Acc@1 60.156 (60.156)	Acc@5 83.594 (83.594)
Epoch: [28][10/5005]	Time 2.377 (4.521)	Data 1.859 (1.665)	Loss 1.5571 (1.6333)	Acc@1 62.891 (62.003)	Acc@5 84.375 (82.812)
Epoch: [28][20/5005]	Time 0.377 (3.343)	Data 0.000 (1.631)	Loss 1.7794 (1.6575)	Acc@1 54.688 (61.310)	Acc@5 82.031 (82.812)
Epoch: [28][30/5005]	Time 4.475 (3.151)	Data 3.875 (1.847)	Loss 1.6397 (1.6521)	Acc@1 64.062 (61.555)	Acc@5 84.766 (82.939)
Epoch: [28][40/5005]	Time 0.402 (2.858)	Data 0.000 (1.760)	Loss 1.5455 (1.6614)	Acc@1 62.891 (61.300)	Acc@5 83.984 (82.803)
Epoch: [28][50/5005]	Time 2.795 (2.825)	Data 2.359 (1.850)	Loss 1.6681 (1.6615)	Acc@1 62.500 (61.221)	Acc@5 82.031 (82.659)
Epoch: [28][60/5005]	Time 0.364 (2.696)	Data 0.000 (1.806)	Loss 1.6944 (1.6612)	Acc@1 59.375 (61.270)	Acc@5 81.641 (82.659)
Epoch: [28][70/5005]	Time 4.543 (2.700)	Data 3.895 (1.872)	Loss 1.6274 (1.6613)	Acc@1 61.328 (61.400)	Acc@5 83.203 (82.735)
Epoch: [28][80/5005]	Time 0.403 (2.622)	Data 0.000 (1.838)	Loss 1.5751 (1.6643)	Acc@1 62.891 (61.372)	Acc@5 85.156 (82.677)
Epoch: [28][90/5005]	Time 4.986 (2.619)	Data 4.531 (1.870)	Loss 1.8379 (1.6709)	Acc@1 55.469 (61.126)	Acc@5 80.078 (82.624)
Epoch: [28][100/5005]	Time 0.613 (2.579)	Data 0.000 (1.855)	Loss 1.5163 (1.6681)	Acc@1 66.406 (61.173)	Acc@5 83.594 (82.608)
Epoch: [28][110/5005]	Time 5.521 (2.565)	Data 5.058 (1.864)	Loss 1.8826 (1.6669)	Acc@1 55.078 (61.061)	Acc@5 78.125 (82.577)
Epoch: [28][120/5005]	Time 0.411 (2.524)	Data 0.000 (1.845)	Loss 1.4966 (1.6652)	Acc@1 64.062 (61.125)	Acc@5 86.719 (82.554)
Epoch: [28][130/5005]	Time 5.108 (2.523)	Data 4.605 (1.859)	Loss 1.7088 (1.6621)	Acc@1 60.938 (61.197)	Acc@5 85.156 (82.565)
Epoch: [28][140/5005]	Time 0.531 (2.502)	Data 0.000 (1.852)	Loss 1.4738 (1.6626)	Acc@1 65.234 (61.170)	Acc@5 86.328 (82.585)
Epoch: [28][150/5005]	Time 5.415 (2.493)	Data 5.011 (1.856)	Loss 1.6536 (1.6593)	Acc@1 60.547 (61.201)	Acc@5 81.250 (82.647)
Epoch: [28][160/5005]	Time 0.475 (2.470)	Data 0.000 (1.844)	Loss 1.6757 (1.6621)	Acc@1 60.938 (61.187)	Acc@5 82.422 (82.597)
Epoch: [28][170/5005]	Time 6.656 (2.476)	Data 6.243 (1.859)	Loss 1.6151 (1.6634)	Acc@1 61.328 (61.200)	Acc@5 82.031 (82.561)
Epoch: [28][180/5005]	Time 0.424 (2.458)	Data 0.000 (1.851)	Loss 1.5071 (1.6611)	Acc@1 64.062 (61.263)	Acc@5 84.375 (82.627)
Epoch: [28][190/5005]	Time 5.116 (2.459)	Data 4.683 (1.861)	Loss 1.6333 (1.6594)	Acc@1 60.547 (61.310)	Acc@5 84.375 (82.637)
Epoch: [28][200/5005]	Time 0.443 (2.446)	Data 0.000 (1.854)	Loss 1.7015 (1.6596)	Acc@1 60.938 (61.355)	Acc@5 81.250 (82.587)
Epoch: [28][210/5005]	Time 4.909 (2.440)	Data 4.467 (1.856)	Loss 1.6398 (1.6599)	Acc@1 62.500 (61.308)	Acc@5 83.594 (82.588)
Epoch: [28][220/5005]	Time 0.387 (2.434)	Data 0.000 (1.856)	Loss 1.6802 (1.6602)	Acc@1 57.031 (61.287)	Acc@5 83.594 (82.593)
Epoch: [28][230/5005]	Time 3.565 (2.428)	Data 3.152 (1.854)	Loss 1.5724 (1.6598)	Acc@1 62.500 (61.274)	Acc@5 82.812 (82.579)
Epoch: [28][240/5005]	Time 1.486 (2.427)	Data 1.062 (1.858)	Loss 1.6355 (1.6604)	Acc@1 59.766 (61.244)	Acc@5 81.641 (82.553)
Epoch: [28][250/5005]	Time 2.812 (2.420)	Data 2.323 (1.855)	Loss 1.8000 (1.6609)	Acc@1 58.594 (61.238)	Acc@5 81.250 (82.576)
Epoch: [28][260/5005]	Time 1.116 (2.420)	Data 0.643 (1.858)	Loss 1.9366 (1.6624)	Acc@1 58.984 (61.231)	Acc@5 76.953 (82.536)
Epoch: [28][270/5005]	Time 3.439 (2.414)	Data 3.141 (1.855)	Loss 1.7086 (1.6631)	Acc@1 60.547 (61.210)	Acc@5 82.031 (82.527)
Epoch: [28][280/5005]	Time 0.479 (2.415)	Data 0.000 (1.861)	Loss 1.6080 (1.6647)	Acc@1 62.891 (61.164)	Acc@5 82.031 (82.500)
Epoch: [28][290/5005]	Time 2.520 (2.408)	Data 2.071 (1.857)	Loss 1.6689 (1.6643)	Acc@1 58.984 (61.182)	Acc@5 83.984 (82.502)
Epoch: [28][300/5005]	Time 0.375 (2.412)	Data 0.000 (1.865)	Loss 1.7515 (1.6660)	Acc@1 61.328 (61.183)	Acc@5 80.078 (82.480)
Epoch: [28][310/5005]	Time 3.146 (2.406)	Data 2.737 (1.863)	Loss 1.6245 (1.6669)	Acc@1 60.938 (61.141)	Acc@5 84.766 (82.466)
Epoch: [28][320/5005]	Time 0.486 (2.408)	Data 0.000 (1.869)	Loss 1.6071 (1.6654)	Acc@1 64.062 (61.213)	Acc@5 81.641 (82.484)
Epoch: [28][330/5005]	Time 3.247 (2.403)	Data 2.823 (1.867)	Loss 1.6218 (1.6634)	Acc@1 66.406 (61.242)	Acc@5 81.641 (82.517)
Epoch: [28][340/5005]	Time 0.627 (2.402)	Data 0.093 (1.868)	Loss 1.5065 (1.6643)	Acc@1 64.844 (61.214)	Acc@5 82.812 (82.495)
Epoch: [28][350/5005]	Time 3.518 (2.398)	Data 3.066 (1.866)	Loss 1.5982 (1.6631)	Acc@1 61.328 (61.220)	Acc@5 83.203 (82.525)
Epoch: [28][360/5005]	Time 1.419 (2.398)	Data 0.973 (1.869)	Loss 1.6902 (1.6626)	Acc@1 60.156 (61.225)	Acc@5 82.422 (82.539)
Epoch: [28][370/5005]	Time 1.743 (2.391)	Data 1.315 (1.863)	Loss 1.9019 (1.6638)	Acc@1 54.297 (61.187)	Acc@5 77.344 (82.522)
Epoch: [28][380/5005]	Time 1.367 (2.394)	Data 0.823 (1.869)	Loss 1.6083 (1.6637)	Acc@1 64.062 (61.167)	Acc@5 82.031 (82.525)
Epoch: [28][390/5005]	Time 1.731 (2.387)	Data 1.284 (1.864)	Loss 1.7414 (1.6647)	Acc@1 56.250 (61.176)	Acc@5 80.469 (82.505)
