=> creating model 'resnet50'
=> loading checkpoint 'checkpoint.pth.tar'
=> loaded checkpoint 'checkpoint.pth.tar' (epoch 43)
Loading training data
training data loaded
Epoch: [43][0/5005]	Time 60.166 (60.166)	Data 19.787 (19.787)	Loss 1.2173 (1.2173)	Acc@1 70.703 (70.703)	Acc@5 89.453 (89.453)
Epoch: [43][10/5005]	Time 2.670 (7.282)	Data 1.518 (3.011)	Loss 1.4100 (1.2355)	Acc@1 69.531 (70.561)	Acc@5 83.984 (87.429)
Epoch: [43][20/5005]	Time 0.767 (5.641)	Data 0.060 (3.018)	Loss 1.3058 (1.2462)	Acc@1 71.484 (70.554)	Acc@5 85.547 (87.705)
Epoch: [43][30/5005]	Time 6.123 (5.430)	Data 5.526 (3.441)	Loss 1.1563 (1.2209)	Acc@1 69.922 (71.195)	Acc@5 89.062 (88.143)
Epoch: [43][40/5005]	Time 0.749 (5.017)	Data 0.000 (3.332)	Loss 1.1508 (1.2278)	Acc@1 71.094 (70.998)	Acc@5 89.062 (88.186)
Epoch: [43][50/5005]	Time 7.808 (4.996)	Data 7.087 (3.507)	Loss 1.2944 (1.2308)	Acc@1 67.578 (70.718)	Acc@5 87.891 (88.197)
Epoch: [43][60/5005]	Time 0.654 (4.752)	Data 0.000 (3.395)	Loss 1.2620 (1.2425)	Acc@1 72.656 (70.537)	Acc@5 87.891 (87.967)
Epoch: [43][70/5005]	Time 5.981 (4.789)	Data 5.217 (3.525)	Loss 1.1727 (1.2383)	Acc@1 71.875 (70.533)	Acc@5 89.453 (88.072)
Epoch: [43][80/5005]	Time 0.700 (4.630)	Data 0.000 (3.431)	Loss 1.2243 (1.2358)	Acc@1 67.969 (70.573)	Acc@5 90.234 (88.132)
Epoch: [43][90/5005]	Time 2.832 (4.649)	Data 2.434 (3.498)	Loss 1.3630 (1.2436)	Acc@1 70.703 (70.488)	Acc@5 86.328 (88.075)
Epoch: [43][100/5005]	Time 0.580 (4.546)	Data 0.001 (3.447)	Loss 1.3502 (1.2462)	Acc@1 68.359 (70.452)	Acc@5 86.719 (88.061)
Epoch: [43][110/5005]	Time 3.991 (4.579)	Data 3.324 (3.517)	Loss 1.1145 (1.2479)	Acc@1 74.609 (70.457)	Acc@5 89.453 (88.024)
Epoch: [43][120/5005]	Time 0.607 (4.487)	Data 0.000 (3.450)	Loss 1.2985 (1.2472)	Acc@1 72.266 (70.416)	Acc@5 88.672 (87.994)
Epoch: [43][130/5005]	Time 2.711 (4.529)	Data 2.067 (3.515)	Loss 1.1731 (1.2512)	Acc@1 71.484 (70.324)	Acc@5 88.281 (87.947)
Epoch: [43][140/5005]	Time 0.624 (4.461)	Data 0.001 (3.474)	Loss 0.9927 (1.2504)	Acc@1 76.953 (70.293)	Acc@5 90.234 (87.982)
Epoch: [43][150/5005]	Time 5.211 (4.496)	Data 4.620 (3.529)	Loss 1.2589 (1.2495)	Acc@1 69.531 (70.351)	Acc@5 86.328 (87.997)
Epoch: [43][160/5005]	Time 0.689 (4.435)	Data 0.000 (3.487)	Loss 1.1197 (1.2456)	Acc@1 70.703 (70.405)	Acc@5 89.844 (88.056)
Epoch: [43][170/5005]	Time 4.901 (4.465)	Data 4.125 (3.534)	Loss 1.3008 (1.2446)	Acc@1 70.703 (70.434)	Acc@5 86.328 (88.064)
Epoch: [43][180/5005]	Time 0.631 (4.414)	Data 0.000 (3.494)	Loss 1.3006 (1.2455)	Acc@1 67.969 (70.420)	Acc@5 86.328 (88.035)
